variable,databaseStart,variableStart,typeStart,typeEnd,recStart,recEnd,catStartLabel,catLabel,catLabelLong,Notes
INST_NUM,DAD,DAD::INST_NUM,cat,cat,else,copy,NA,NA,NA,"A five-character code assigned to a reporting facility by a provincial/ territorial ministry of health identifying the facility and the level of care of the data submitted.
Facility identification number unique to each province/territory.  Mandatory"
YEAR,DAD,DAD::FISCAL_YEAR,cont,cont,else,copy,NA,NA,NA,fiscal year. Name changed according to ICES
ADM_DATE,DAD,DAD::ADM_DATE,cont,cont,else,copy,NA,NA,NA,"Admission date.  If it's a continous number,It's the number of days from ""01-01-1970"". Name changed according to ICES."
ADMTIME,DAD,DAD::ADM_TIME,cat,cat,else,copy,NA,NA,NA,Admission time.
INSTFTYP,DAD,DAD::INST_FROM_TYPE,cat,cat,else,copy,NA,NA,NA,"0 = Community Based Clinic
1 = Acute Inpatient Care
2 = Inpatient Rehabilitation
3 = Inpatient Complex Continuing Care
4 = Long-term care (24-hour nursing care)
5 = Inpatient Psychiatry (Mental Health)
6 = Nursing Stations
7 = Special Rehabilitation Facility
8 = Home Care Program
9 = Inpatient Palliative Care
A = Day Surgery
B = Private Clinic
C = Correctional Facility
E = Emergency Department
F = Other health facility
G = Group Living/Supportive Housing
H = Transitional Housing
J = Other non-health facility
M = Community Mental Health and Addiction Services
N = Ambulatory Care Clinic
P = Hospice/Palliative Care Facility
S = Sub-Acute
T = Mental Health and/or Addiction Treatment Centre
U = Unknown facility 
*Name changed according to ICES"
INSTFNUM,DAD,DAD::INST_FROM_NUM,cat,cat,else,copy,NA,NA,NA,"The number assigned by the provincial/territorial Ministry or Department of Health of the facility from which the patient was directly transferred for further treatment or care. 
This can be another health care facility or another level of care within the report facility.  Includes transfers from home care and nursing homes. 
*Name changed according to ICES"
ADMCAT,DAD,DAD::ADMIT_CATEGORY,cat,cat,else,copy,NA,NA,NA,"Admit Category describes the initial status of the patient at the time of admission to the reporting facility. Mandatory.
U -  Emergent/Urgent
L  - Elective
N - Refer to province/territorial directives as may include, born enroute, at home within 24 hours of life and some other scenarios.
S  -  Stillbirth (in the reporting hospital)
R  -  Cadaver (admitted for organ/tissue retrieval purposes)
*Name changed according to ICES"
READMIT,DAD,DAD::READM_CODE,cat,cat,else,copy,NA,NA,NA,"1 = Planned readmission from previous acute care (no time restriction)
2 = Unplanned readmission <= 7 days from previous acute admission within the same reporting facility and readmission diagnosis is the same/related to the previous admission
3 = Unplanned readmission 8 – 28 days from previous acute admission within the same reporting facility and readmission diagnosis is the same/related to the previous admission
4 = Unplanned readmission <= 7 days from previous same day surgery admission of the reporting facility and readmission diagnosis is the same/related to the previous admission
5 = New patient
9 = None of the above
*Name changed according to ICES"
ENTRY,DAD,DAD::ENTRY_CODE,cat,cat,else,copy,NA,NA,NA,"C = Patient admitted via a clinic of the reporting facility
D = Direct
E = Emergency Dept
N = Newborn
P = Day Procedure
S = Stillborn
*Name changed according to ICES"
DDATE,DAD,DAD::DISCHARGE_DATE,cont,cont,else,copy,NA,NA,NA,"Discharge date. If it's continous, It's the number of days from ""01-01-1970"".
* Name changed according to ICES."
DTIME,DAD,DAD::DISCHARGE_TIME,cat,cat,else,copy,NA,NA,NA,"Discharge time. It's stored as hhmm (e.g. 0855 is 8:55 AM). 9999 is invalid code.
* Name changed according to ICES."
INSTTTYP,DAD,DAD::INST_TO_TYPE,cat,cat,else,copy,NA,NA,NA,"0 = Community Based Clinic
1 = Acute Inpatient Care
2 = Inpatient Rehabilitation
3 = Inpatient Complex Continuing Care
4 = Long-term care (24-hour nursing care)
5 = Inpatient Psychiatry (Mental Health)
6 = Nursing Stations
7 = Special Rehabilitation Facility
8 = Home Care Program
9 = Inpatient Palliative Care
A = Day Surgery
B = Private Clinic
C = Correctional Facility
E = Emergency Department
F = Other health facility
G = Group Living/Supportive Housing
H = Transitional Housing
J = Other non-health facility
M = Community Mental Health and Addiction Services
N = Ambulatory Care Clinic
P = Hospice/Palliative Care Facility
S = Sub-Acute
T = Mental Health and/or Addiction Treatment Centre
U = Unknown facility 
*Name changed according to ICES"
INSTTNUM,DAD,DAD::INST_TO_NUM,cat,cat,else,copy,NA,NA,NA,"The number assigned by the provincial/territorial Ministry or Department of Health of the facility to which the patient was directly transferred for further treatment or care. 
This can be another health care facility or another level of care within the report facility.  Includes transfers from home care and nursing homes. 
*Name changed according to ICES"
DISCHDISP,DAD,DAD::DISCHARGE_DISPOSITION,cat,cat,else,copy,NA,NA,NA,"01 = Transferred to another facility providing inpatient hospital care or acute care inpatient institution/delete value 01 from 2018 onwards
02 = Transferred to a long term or continuing care facility/delete value 02 from 2018 onwards
03 = transferred to other ambulatory care, palliative care/hospice, addiction treatment centre, jails, infants and children discharged/detained by social services)/delete value 03 from 2018 onwards
04 = discharged to a home setting with support services
05 = Discharged to home (no support service from an external agency required)
06 = Signed out (against medical advice)/delete value 06 from 2018 onwards
07 = Died/delete value 07 from 2018 onwards
08 = Cadaver - admitted for organ/tissue retrieval
09 = Stillbirth
10 = Impatient care
12 = Patients who do not return from a pass (applicable in 2008/09 and onwards)/delete value 12 from 2018 onwards
20 = ED and ambulatory care
30 = Residential care
40 = Group/supportive living
61 = Absent without leave (AWOL)
62 = Left against medical advice (LAMA)
65 = Did not return from pass/leave
66 = Died while on pass/leave
67 = Suicide out of facility
72 = Died in facility
73 = Medical assistance in dying(MAID)
74 = Suicide in facility
90 = Correctional facility
*Name changed according to ICES"
PATSERV,DAD,DAD::MAIN_PATIENT_SERVICE,cat,cat,else,copy,NA,NA,NA,"01 = Family Practice
03 = Emergency
08 = Extended care prior to April 2002 and then Hospital-specific
09 = Respite care prior to April 2002 and then Hospital-specific
10 = General Medicine
11 = Allergy
12 = Cardiology
13 = Dermatology
14 = Endocrinology
15 = Gastro-Enterology
16 = Nephrology
17 = Neurology
18 = Respirology
19 = Rheumatology
20 = Paed.Medicine
21 = Paed.Allergy
22 = Paed.Cardiology
23 = Paed.Dermatology
24 = Paed.Endocrinlgy
25 = Paed.Gas-Entrlgy
26 = Paed.Nephrology
27 = Paed.Neurology
28 = Paed.Respirology
29 = Paed.Rheumatlgy
30 = General Surgery
31 = Cardio Surgery
32 = Neurosurgery
33 = Oral Surgery
34 = Orthopae Surgery
35 = Plastic Surgery
36 = Thoracic Surgery
37 = Transplant Surg
38 = Traumatology
39 = Urology
40 = Paed.Surgery
41 = Paed.CardioSurg
42 = Paed.Neurosurg
43 = Paed.Oral Surg
44 = Paed.Ortho Surg
45 = Paed.PlasticSurg
46 = Paed.Thorac Surg
47 = Paed.TransplSurg
48 = Paed.Traumatolgy
49 = Paed.Urology
51 = ObstetricsDelvrd
52 = Obs.Anteprtum
53 = Obs.Aborted
54 = Newborn
55 = Gynaecology
56 = Paed.Gynecology
57 = Anaesthesia till March 2002
58 = Palliative Care
59 = Obs.Postpartum
60 = Otolarngology
61 = Paed.Otolarynglgy
62 = Opthalmology
63 = Paed.Opthalmology
64 = Psychiatry
65 = Pead.Psychiatry
66 = Haematology
67 = Pead.Haematology
68 = Immunology
69 = Paed.Immunology
70 = PhysMed & Rehab
71 = Paed.PhyMd&Rehab
72 = Geriatrics
73 = Chronic Behaviour Disorder Unit till March 2002
74 = Medical Oncology
75 = Radiation Oncology
76 = Rehab.ActCreHosp till March 2000
79 = Urogynecollogy till March 2006
80 = Radiology
81 = Radiation Oncology
82 = Genetics
83 = Nuclear Medicine till March 2006
87 = Dentistry
88 = Paed.Dentistry
89 = Stillborn
90 = Cadaveric Donor
91 = Podiatry
95 = Vascular Surgery till March 2006
96 = Infectious Disease
97 = Neonatology
99 = ALC"
DX10CODE1,DAD,DAD::DIAG_CODE_1,cat,cat,else,copy,NA,NA,NA,https://datadictionary.ices.on.ca/Applications/DataDictionary/Variables.aspx?LibName=DAD&MemName=&Variable=DX10CODE1
DX10CODE2,DAD,DAD::DIAG_CODE_2,cat,cat,else,copy,NA,NA,NA,Refer to DX10CODE1
DX10CODE3,DAD,DAD::DIAG_CODE_3,cat,cat,else,copy,NA,NA,NA,Refer to DX10CODE1
DX10CODE4,DAD,DAD::DIAG_CODE_4,cat,cat,else,copy,NA,NA,NA,Refer to DX10CODE1
DX10CODE5,DAD,DAD::DIAG_CODE_5,cat,cat,else,copy,NA,NA,NA,Refer to DX10CODE1
DX10CODE6,DAD,DAD::DIAG_CODE_6,cat,cat,else,copy,NA,NA,NA,Refer to DX10CODE1
DX10CODE7,DAD,DAD::DIAG_CODE_7,cat,cat,else,copy,NA,NA,NA,Refer to DX10CODE1
DX10CODE8,DAD,DAD::DIAG_CODE_8,cat,cat,else,copy,NA,NA,NA,Refer to DX10CODE1
DX10CODE9,DAD,DAD::DIAG_CODE_9,cat,cat,else,copy,NA,NA,NA,Refer to DX10CODE1
DX10CODE10,DAD,DAD::DIAG_CODE_10,cat,cat,else,copy,NA,NA,NA,Refer to DX10CODE1
DX10CODE11,DAD,DAD::DIAG_CODE_11,cat,cat,else,copy,NA,NA,NA,Refer to DX10CODE1
DX10CODE12,DAD,DAD::DIAG_CODE_12,cat,cat,else,copy,NA,NA,NA,Refer to DX10CODE1
DX10CODE13,DAD,DAD::DIAG_CODE_13,cat,cat,else,copy,NA,NA,NA,Refer to DX10CODE1
DX10CODE14,DAD,DAD::DIAG_CODE_14,cat,cat,else,copy,NA,NA,NA,Refer to DX10CODE1
DX10CODE15,DAD,DAD::DIAG_CODE_15,cat,cat,else,copy,NA,NA,NA,Refer to DX10CODE1
DX10CODE16,DAD,DAD::DIAG_CODE_16,cat,cat,else,copy,NA,NA,NA,Refer to DX10CODE1
DX10CODE17,DAD,DAD::DIAG_CODE_17,cat,cat,else,copy,NA,NA,NA,Refer to DX10CODE1
DX10CODE18,DAD,DAD::DIAG_CODE_18,cat,cat,else,copy,NA,NA,NA,Refer to DX10CODE1
DX10CODE19,DAD,DAD::DIAG_CODE_19,cat,cat,else,copy,NA,NA,NA,Refer to DX10CODE1
DX10CODE20,DAD,DAD::DIAG_CODE_20,cat,cat,else,copy,NA,NA,NA,Refer to DX10CODE1
DX10CODE21,DAD,DAD::DIAG_CODE_21,cat,cat,else,copy,NA,NA,NA,Refer to DX10CODE1
DX10CODE22,DAD,DAD::DIAG_CODE_22,cat,cat,else,copy,NA,NA,NA,Refer to DX10CODE1
DX10CODE23,DAD,DAD::DIAG_CODE_23,cat,cat,else,copy,NA,NA,NA,Refer to DX10CODE1
DX10CODE24,DAD,DAD::DIAG_CODE_24,cat,cat,else,copy,NA,NA,NA,Refer to DX10CODE1
DX10CODE25,DAD,DAD::DIAG_CODE_25,cat,cat,else,copy,NA,NA,NA,Refer to DX10CODE1
DXTYPE1,DAD,DAD::DIAG_TYPE_1,cat,cat,else,copy,NA,NA,NA,https://datadictionary.ices.on.ca/Applications/DataDictionary/Variables.aspx?LibName=DAD&MemName=&Variable=DXTYPE1
DXTYPE2,DAD,DAD::DIAG_TYPE_2,cat,cat,else,copy,NA,NA,NA,Refer to DXTYPE1
DXTYPE3,DAD,DAD::DIAG_TYPE_3,cat,cat,else,copy,NA,NA,NA,Refer to DXTYPE1
DXTYPE4,DAD,DAD::DIAG_TYPE_4,cat,cat,else,copy,NA,NA,NA,Refer to DXTYPE1
DXTYPE5,DAD,DAD::DIAG_TYPE_5,cat,cat,else,copy,NA,NA,NA,Refer to DXTYPE1
DXTYPE6,DAD,DAD::DIAG_TYPE_6,cat,cat,else,copy,NA,NA,NA,Refer to DXTYPE1
DXTYPE7,DAD,DAD::DIAG_TYPE_7,cat,cat,else,copy,NA,NA,NA,Refer to DXTYPE1
DXTYPE8,DAD,DAD::DIAG_TYPE_8,cat,cat,else,copy,NA,NA,NA,Refer to DXTYPE1
DXTYPE9,DAD,DAD::DIAG_TYPE_9,cat,cat,else,copy,NA,NA,NA,Refer to DXTYPE1
DXTYPE10,DAD,DAD::DIAG_TYPE_10,cat,cat,else,copy,NA,NA,NA,Refer to DXTYPE1
DXTYPE11,DAD,DAD::DIAG_TYPE_11,cat,cat,else,copy,NA,NA,NA,Refer to DXTYPE1
DXTYPE12,DAD,DAD::DIAG_TYPE_12,cat,cat,else,copy,NA,NA,NA,Refer to DXTYPE1
DXTYPE13,DAD,DAD::DIAG_TYPE_13,cat,cat,else,copy,NA,NA,NA,Refer to DXTYPE1
DXTYPE14,DAD,DAD::DIAG_TYPE_14,cat,cat,else,copy,NA,NA,NA,Refer to DXTYPE1
