variable,databaseStart,variableStart,typeStart,typeEnd,recStart,recEnd,catStartLabel,catLabel,catLabelLong,Notes
YEAR,NACRS,NACRS::FISCAL_YEAR,cont,cont,else,copy,NA,NA,NA,fiscal year. Name changed according to ICES
PROV,NACRS,NACRS::REPORT_FACILITY_PROV_TERR,cat,cat,else,copy,NA,NA,NA,NA
ARRIVALDATE,NACRS,NACRS::ARRIVAL_DATE,cont,cont,else,copy,NA,NA,NA,"Arrival date.  It's the number of days from ""01-01-1970"". Name changed according to ICES."
ARRIVALTIME,NACRS,NACRS::ARRIVAL_TIME,cat,cat,else,copy,NA,NA,NA,Arrival time. It's stored as hhmm (e.g. 0855 is 8:55 AM). 9999 is invalid code. Name changed according to ICES.
TRIAGEDATE,NACRS,NACRS::TRIAGE_DATE,cont,cont,else,copy,NA,NA,NA,"Triage date.  It's the number of days from ""01-01-1970"". Name changed according to ICES."
TRIAGETIME,NACRS,NACRS::TRIAGE_TIME,cat,cat,else,copy,NA,NA,NA,Triage time. It's stored as hhmm (e.g. 0855 is 8:55 AM). 9999 is invalid code. Name changed according to ICES.
TRIAGE,NACRS,NACRS::TRIAGE_LEVEL,cat,cat,else,copy,NA,NA,NA,"1 = Resuscitation
2 = Emergent
3 = Urgent
4 = Less-Urgent (Semi-Urgent)
5 = Non-Urgent
9 = Unknown"
REGDATE,NACRS,NACRS::REGISTRATION_DATE,cont,cont,else,copy,NA,NA,NA,"Registration date.  It's the number of days from ""01-01-1970"". Name changed according to ICES."
REGTIME,NACRS,NACRS::REGISTRATION_TIME,cat,cat,else,copy,NA,NA,NA,Registration time. It's stored as hhmm (e.g. 0855 is 8:55 AM). 9999 is invalid code. Name changed according to ICES.
ASSESSDATE,NACRS,NACRS::PHYSICIAN_INIT_ASSESS_DATE,cont,cont,else,copy,NA,NA,NA,NA
ASSESSTIME,NACRS,NACRS::PHYSICIAN_INIT_ASSESS_TIME,cat,cat,else,copy,NA,NA,NA,NA
DISPDATE,NACRS,NACRS::DISPOSITION_DATE,cont,cont,else,copy,NA,NA,NA,NA
DISPTIME,NACRS,NACRS::DISPOSITION_TIME,cat,cat,else,copy,NA,NA,NA,NA
LEFTEDDATE,NACRS,NACRS::DATE_PATIENT_LEFT_ED,cont,cont,else,copy,NA,NA,NA,NA
LEFTEDTIME,NACRS,NACRS::TIME_PATIENT_LEFT_ED,cat,cat,else,copy,NA,NA,NA,NA
INSTFTYP,NACRS,NACRS::INST_FROM_TYPE_CODE,cat,cat,else,copy,NA,NA,NA,NA
INSTTTYP,NACRS,NACRS::INST_TO_TYPE_CODE,cat,cat,else,copy,NA,NA,NA,NA
DX10CODE1,NACRS,NACRS::MAIN_PROBLEM,cat,cat,else,copy,NA,NA,NA,https://datadictionary.ices.on.ca/Applications/DataDictionary/Variables.aspx?LibName=NACRS&MemName=&Variable=DX10CODE1
DX10CODE2,NACRS,NACRS::OTHER_PROBLEM_1,cat,cat,else,copy,NA,NA,NA,NA
DX10CODE3,NACRS,NACRS::OTHER_PROBLEM_2,cat,cat,else,copy,NA,NA,NA,NA
DX10CODE4,NACRS,NACRS::OTHER_PROBLEM_3,cat,cat,else,copy,NA,NA,NA,NA
DX10CODE5,NACRS,NACRS::OTHER_PROBLEM_4,cat,cat,else,copy,NA,NA,NA,NA
DX10CODE6,NACRS,NACRS::OTHER_PROBLEM_5,cat,cat,else,copy,NA,NA,NA,NA
DX10CODE7,NACRS,NACRS::OTHER_PROBLEM_6,cat,cat,else,copy,NA,NA,NA,NA
DX10CODE8,NACRS,NACRS::OTHER_PROBLEM_7,cat,cat,else,copy,NA,NA,NA,NA
DX10CODE9,NACRS,NACRS::OTHER_PROBLEM_8,cat,cat,else,copy,NA,NA,NA,NA
DX10CODE10,NACRS,NACRS::OTHER_PROBLEM_9,cat,cat,else,copy,NA,NA,NA,NA
FC1,NACRS,NACRS::MIS_FUNCTIONAL_CENTRE_1,cat,cat,else,copy,NA,NA,NA,NA
FC2,NACRS,NACRS::MIS_FUNCTIONAL_CENTRE_2,cat,cat,else,copy,NA,NA,NA,NA
